Drug_Name,Interactions
Metoclopramide,"Aripiprazole, Isocarboxazid, Nitrous acid, Lithium cation, Vilazodone, Clomipramine, Paliperidone, Milnacipran, Lorcaserin, Rasagiline, Fencamfamin, Amisulpride, Chlorprothixene, Posaconazole, Tedizolid phosphate, Brexpiprazole, Levomilnacipran, Tetrabenazine, Fluspirilene, Acepromazine, Trimetazidine, Iloperidone, Desvenlafaxine, Zuclopenthixol, Tapentadol, Vortioxetine, Asenapine, Sertindole, Lurasidone, Molindone, Rotigotine, Methotrimeprazine, Thiothixene, Ergometrine, Quinagolide"
Dexamethasone,"Fosamprenavir, Ticagrelor, Ivacaftor, Indacaterol, Telaprevir, Romidepsin, Asparaginase Erwinia chrysanthemi, Sonidegib, Lapatinib, Tesmilifene, Roflumilast, Cobicistat, Benzoic acid, Insulin detemir, Idelalisib, Elvitegravir, St. John's Wort, Cabozantinib, Sunitinib, Olaparib, Tocilizumab, Linagliptin, Axitinib, Alogliptin, Dasatinib, Corticorelin ovine triflutate, Siltuximab, Magnesium oxide, Sipuleucel-T, Bedaquiline, Denosumab, Rilpivirine, Fosaprepitant, Enzalutamide, Tofacitinib, Gliquidone, Flibanserin, Fosphenytoin, Luliconazole, Stiripentol, Calcium carbonate, Nilotinib, Stanolone, Nicorandil, Rolapitant, Simeprevir, Aripiprazole, Netupitant, Daclatasvir, Insulin glulisine, Ibrutinib, Canagliflozin, Palbociclib, Fusidic acid, Ixabepilone, Vildagliptin, Bosutinib, Aluminum hydroxide, Saxagliptin, Insulin aspart, Deferasirox, Dabrafenib"
Levodopa,"Hydralazine, Isosorbide, Azilsartan medoxomil, Clevidipine, Amyl Nitrite, Fosphenytoin, Penbutolol, Nesiritide, Empagliflozin, Isocarboxazid, Riociguat, Rasagiline, Nebivolol, Aliskiren, Dapagliflozin, Isoxsuprine, Cilazapril, Tedizolid phosphate, Enalaprilat, Dinutuximab"
Sevoflurane,"Ephedra sinica root, Paraldehyde, Tapentadol, Rufinamide, Methotrimeprazine, Ephedrine, Sodium oxybate, Rotigotine, Suvorexant, Perampanel"
Aripiprazole,"Ticagrelor, Stiripentol, Insulin glulisine, Mirabegron, Lithium cation, Vildagliptin, Quinagolide, Isosorbide, Posaconazole, Temsirolimus, Insulin detemir, Tocilizumab, Alogliptin, Fusidic acid, Cyproterone acetate, Vilazodone, Tedizolid phosphate, Oritavancin, Insulin aspart, Palbociclib, Saxagliptin, Perampanel, Lorcaserin, Gliquidone, Boceprevir, Luliconazole, Rasagiline, Netupitant, Paraldehyde, Isavuconazonium, Tetrabenazine, Desvenlafaxine, Crizotinib, Darunavir, Panobinostat, Danazol, Cathinone, Fosamprenavir, Methotrimeprazine, Cobicistat, Isocarboxazid, Etravirine, Suvorexant, Dextroamphetamine, Abiraterone, Linagliptin, Fosphenytoin, Ceritinib, Metamfetamine, Trametinib, Tapentadol, Ospemifene, Enalaprilat, Simeprevir, Glycerol phenylbutyrate, Idelalisib, Enzalutamide, Phendimetrazine, Dasatinib, Amisulpride, Lapatinib, Dabrafenib, Clomipramine, Ivacaftor, Thiothixene, Phenylbutyric acid, Levomilnacipran, Deferasirox, Vortioxetine, Siltuximab, Vemurafenib, Lisdexamfetamine, Lurasidone, Fosaprepitant, Telaprevir, Ergometrine, Milnacipran, Rolapitant, Sodium oxybate, Sulconazole, Eslicarbazepine acetate, Rufinamide, Armodafinil, Lomitapide, Pazopanib, Canagliflozin, St. John's Wort"
Chlorprothixene,"Vortioxetine, Phendimetrazine, Isocarboxazid, Lorcaserin, Dextroamphetamine, Tetrabenazine, Vilazodone, Lisdexamfetamine, Desvenlafaxine, Rasagiline, Quinagolide, Metamfetamine, Ergometrine, Milnacipran, Clomipramine, Levomilnacipran, Tedizolid phosphate, Lithium cation"
Epoprostenol,"Ethyl biscoumacetate, Dalteparin, Sulodexide, Moxonidine, Acenocoumarol, Citric acid"
Gemfibrozil,"Pirfenidone, Pitavastatin, Enzalutamide, Flibanserin, Acipimox, Raltegravir, Ospemifene, Eluxadoline, Lacosamide, Colchicine, Ciprofibrate, Parecoxib, Ursodeoxycholic acid, Chenodeoxycholic acid, Agomelatine"
Clomipramine,"Mirabegron, Tedizolid phosphate, Zuclopenthixol, Eliglustat, Aclidinium, Pramlintide, Nebivolol, Heptabarbital, Hexobarbital, Lumacaftor, Cobicistat, Cathinone, Nicorandil, Butobarbital, Acepromazine, Dapoxetine, Abiraterone, Iobenguane, Methylene blue, Tapentadol, Eluxadoline, Teriflunomide, Itopride, Fencamfamin, Yohimbine, Tiotropium, Fesoterodine, Dexmethylphenidate, Luliconazole, Molindone, Dabrafenib, Panobinostat, Milnacipran, Amisulpride, Rufinamide, St. John's Wort, Thiothixene, Perampanel, Paliperidone, Batimastat, Paraldehyde, Deferasirox, Cimetropium, Vemurafenib, Darunavir, Ramosetron, Lithium cation, Brexpiprazole, Umeclidinium, Simeprevir, Mianserin, Sertindole, Suvorexant, Sodium oxybate, Methotrimeprazine, Cyproterone acetate, Moxonidine, Fluspirilene, Rotigotine"
Bepridil,"Silodosin, Amobarbital, Posaconazole, Calcium gluconate, Regorafenib, Magnesium citrate, Darunavir, Magnesium salicylate, Fosamprenavir, Magnesium hydroxide, Vecuronium, Clevidipine, Pancuronium, Calcium carbonate, Boceprevir, Telaprevir, Magnesium chloride, Etravirine, Ivabradine, Magnesium oxide, Fosphenytoin, Lopinavir, Calcium citrate"
Isocarboxazid,"Eluxadoline, Tiotropium, Levonordefrin, Cathinone, Mianserin, Betahistine, Bezafibrate, Paliperidone, Lithium cation, Acepromazine, Cimetropium, Tetryzoline, Dexmethylphenidate, Tianeptine, Pholcodine, Mirabegron, Pizotifen, Zuclopenthixol, Dapoxetine, Thiothixene, Pramlintide, Fluspirilene, Umeclidinium, Tetrabenazine, Amisulpride, Molindone, Methylene blue, Sertindole, Ramosetron, Methotrimeprazine, Isometheptene, Tapentadol, Itopride, Fencamfamin, Moxonidine, Tedizolid phosphate, Aclidinium"
Docetaxel,"Sipuleucel-T, Fusidic acid, Roflumilast, Netupitant, Dabrafenib, Ivacaftor, Denosumab, Metamizole, Siltuximab, Tofacitinib, Dasatinib, Tocilizumab, Tesmilifene, Simeprevir, Dronedarone, Luliconazole, Idelalisib, Deferasirox, Stiripentol, Posaconazole, St. John's Wort, Palbociclib"
Gliquidone,"Insulin degludec, Dienogest, Insulin glulisine, Lanreotide, Nilotinib, Asenapine, Cortisone acetate, Corticotropin, Iloperidone, Pasireotide, Articaine, Hydroxyprogesterone caproate, Darunavir, Lurasidone, Vorinostat, Dabrafenib, Triptorelin, Everolimus, Histrelin, Mestranol, Fosamprenavir, Brexpiprazole, Ceritinib, Drospirenone, Lopinavir, Buserelin, Methotrimeprazine, Pipotiazine, Sunitinib, Insulin aspart, Temsirolimus, Cyproterone acetate, Estrone sulfate, Paliperidone, Danazol, Insulin detemir, Mecasermin"
Ergometrine,"Stiripentol, Posaconazole, Ivacaftor, Fencamfamin, Zuclopenthixol, Methotrimeprazine, Palbociclib, Fosaprepitant, Dasatinib, Batimastat, Paliperidone, Netupitant, Fluspirilene, Acepromazine, Molindone, Fusidic acid, Sertindole, Simeprevir, Thiothixene, Telaprevir, Boceprevir, Lorcaserin, Amisulpride, Tedizolid phosphate, Dapoxetine, Idelalisib, Luliconazole"
Dasatinib,"Dabrafenib, Sodium bicarbonate, Avanafil, Ivacaftor, Naloxegol, Aluminum hydroxide, Simeprevir, Calcium carbonate, Temsirolimus, Ceritinib, Ibrutinib, Sunitinib, Sulodexide, Prasugrel, Isavuconazonium, Fesoterodine, Dalteparin, Bosutinib, Telaprevir, Vorapaxar, Floctafenine, Tofacitinib, Saxagliptin, Silodosin, Vilazodone, Macitentan, Daclatasvir, Cabozantinib, Armodafinil, Nadroparin, Isosorbide, Tiaprofenic acid, Cabazitaxel, Magnesium oxide, Milnacipran, Hydroxyprogesterone caproate, Spiramycin, Ivabradine, Palbociclib, Lomitapide, Lurasidone, Everolimus, Axitinib, Solifenacin, Roflumilast, Posaconazole, Flibanserin, Apixaban, Enzalutamide, Boceprevir, Lapatinib, Cangrelor, Olaparib, Pipotiazine, Pazopanib, Fosphenytoin, Deferasirox, Suvorexant, St. John's Wort, Citric acid, Cobimetinib, Desirudin, Ethyl biscoumacetate, Edoxaban, Dabigatran etexilate, Acenocoumarol, Rivaroxaban, Siltuximab, Colchicine, Ruxolitinib, Maraviroc, Desvenlafaxine, Cyproterone acetate, Panobinostat, Brexpiprazole, Idelalisib, Cobicistat, Trastuzumab emtansine, Fosaprepitant, Sipuleucel-T, Denosumab, Levomilnacipran, Vortioxetine, Tolvaptan, Crizotinib, Trabectedin, Fusidic acid, Darunavir, Danaparoid, Tinzaparin, Netupitant, Regorafenib, Sonidegib, Ticagrelor, Luliconazole, Metamizole, Stiripentol, Tocilizumab, Ixabepilone, Magnesium hydroxide, Propacetamol"
Lisdexamfetamine,"Naphazoline, Ioflupane I-123, Fluspirilene, Chlorphentermine, Acepromazine, Mephentermine, Metamfetamine, Molindone, Clenbuterol, Methotrimeprazine, Sertindole, Thiothixene, Tedizolid phosphate, Lithium cation, Amisulpride, Ammonium chloride, Doxofylline, Fencamfamin, Methenamine, Iobenguane, Aluminum hydroxide, Magnesium oxide, Fenoterol, Paliperidone, Calcium carbonate, Zuclopenthixol"
Retapamulin,"Darunavir, Posaconazole, Idelalisib, Telaprevir, Cobicistat, Ceritinib, Boceprevir"
Eculizumab,"Sipuleucel-T, Denosumab, Tofacitinib, Belimumab, Roflumilast"
Lapatinib,"Tesmilifene, Lomitapide, Afatinib, Flibanserin, Brentuximab vedotin, Luliconazole, Prucalopride, Silodosin, Bosutinib, Stiripentol, Dabigatran etexilate, Deferasirox, Fosaprepitant, Ceritinib, Colchicine, Naloxegol, Dabrafenib, Ivacaftor, Idelalisib, Edoxaban, Ledipasvir, Siltuximab, Tocilizumab, Darunavir, Fusidic acid, Enzalutamide, Netupitant, Telaprevir, Fosphenytoin, Palbociclib, St. John's Wort, Cobicistat, Everolimus, Posaconazole, Simeprevir, Boceprevir, Pazopanib"
Desonide,Ceritinib
Sitagliptin,"Insulin glulisine, Stanolone, Insulin aspart, Lumacaftor, Insulin degludec, Tesmilifene, Enalaprilat, Cilazapril, Insulin detemir"
Decitabine,Metamizole
Posaconazole,"Rilpivirine, Brentuximab vedotin, Olaparib, Romidepsin, Cabozantinib, Bedaquiline, Tofacitinib, Colchicine, Tolvaptan, Ivacaftor, Lumacaftor, Apixaban, Iloperidone, Panobinostat, Telaprevir, Dapoxetine, Prasugrel, Etravirine, Tasimelteon, Simeprevir, Fesoterodine, Amrinone, Temsirolimus, Flunarizine, Palbociclib, Trastuzumab emtansine, Ixabepilone, Bosutinib, Naloxegol, Lurasidone, Barnidipine, Trabectedin, Vorapaxar, Ceritinib, Levomilnacipran, Fosphenytoin, Drospirenone, Dronedarone, Regorafenib, Isavuconazonium, Idelalisib, Macitentan, Everolimus, Dienogest, Ospemifene, Vilazodone, Parecoxib, Imidafenacin, Maraviroc, Sunitinib, Nilotinib, Ulipristal, Lomitapide, Axitinib, Suvorexant, Pranlukast, Ponatinib, Ivabradine, Sonidegib, Enzalutamide, Prenylamine, Cabazitaxel, Avanafil, Ibrutinib, Etizolam, Solifenacin, Acenocoumarol, Zuclopenthixol, Pazopanib, Saxagliptin, Vemurafenib, Ruxolitinib, Crizotinib, Flibanserin, Brexpiprazole, Fosamprenavir, Silodosin, Boceprevir, Eliglustat, Ticagrelor, Daclatasvir, Lacosamide"
Darunavir,"Cabazitaxel, Daclatasvir, Temsirolimus, Insulin detemir, Vildagliptin, Linagliptin, Zuclopenthixol, Netupitant, Dienogest, Pazopanib, Fusidic acid, Insulin aspart, Prucalopride, Macitentan, Ospemifene, Siltuximab, Ivacaftor, Insulin glulisine, Panobinostat, Edoxaban, Ivabradine, Fosphenytoin, Ceritinib, Tocilizumab, Etizolam, Bedaquiline, Garlic, Avanafil, Colchicine, Palbociclib, Nintedanib, Ibrutinib, Canagliflozin, Prasugrel, Idelalisib, St. John's Wort, Dronedarone, Batimastat, Parecoxib, Nilotinib, Luliconazole, Regorafenib, Bosutinib, Vemurafenib, Isavuconazonium, Rivaroxaban, Ticagrelor, Ledipasvir, Telaprevir, Deferasirox, Dabrafenib, Pranlukast, Silodosin, Apixaban, Trastuzumab emtansine, Lumefantrine, Vortioxetine, Tolvaptan, Simeprevir, Saxagliptin, Axitinib, Etravirine, Maraviroc, Everolimus, Ponatinib, Alogliptin, Lopinavir, Tetrabenazine, Elvitegravir, Tofacitinib, Metamfetamine, Sonidegib, Vorapaxar, Ruxolitinib, Tasimelteon, Boceprevir, Eliglustat, Lurasidone, Ulipristal, Vilazodone, Trabectedin, Flibanserin, Barnidipine, Dapoxetine, Dabigatran etexilate, Suvorexant, Afatinib, Stiripentol, Lacosamide, Riociguat, Olaparib, Iloperidone, Lomitapide, Ixabepilone, Cabozantinib, Levomilnacipran, Imidafenacin, Romidepsin, Brexpiprazole, Crizotinib, Rilpivirine, Brentuximab vedotin, Fesoterodine, Naloxegol"
Paliperidone,"Lithium cation, Rufinamide, Canagliflozin, Rasagiline, Milnacipran, Vortioxetine, Lorcaserin, Insulin glulisine, Linagliptin, Suvorexant, Fosphenytoin, Saxagliptin, Amisulpride, Sodium oxybate, Quinagolide, Tedizolid phosphate, Insulin aspart, Lumacaftor, Vildagliptin, Methotrimeprazine, Perampanel, Phendimetrazine, Desvenlafaxine, Tesmilifene, Paraldehyde, Ivabradine, Cathinone, Vilazodone, Tapentadol, Insulin detemir, St. John's Wort, Metamfetamine, Dextroamphetamine, Tetrabenazine, Levomilnacipran, Alogliptin"
Sunitinib,"Colchicine, Roflumilast, Sipuleucel-T, Fosaprepitant, Simeprevir, Netupitant, Luliconazole, Enzalutamide, Insulin detemir, Stiripentol, St. John's Wort, Prucalopride, Temsirolimus, Ledipasvir, Insulin aspart, Denosumab, Vildagliptin, Naloxegol, Insulin glulisine, Tofacitinib, Ivacaftor, Linagliptin, Silodosin, Dabigatran etexilate, Dabrafenib, Fusidic acid, Stanolone, Bosutinib, Saxagliptin, Idelalisib, Afatinib, Everolimus, Pazopanib, Alogliptin, Fosphenytoin, Canagliflozin, Brentuximab vedotin, Tocilizumab, Deferasirox, Siltuximab, Edoxaban, Palbociclib"
Ranibizumab,Belimumab
Arformoterol,"Metamfetamine, Naphazoline, Fenoterol, Chlorphentermine, Doxofylline, Mephentermine, Tedizolid phosphate, Iobenguane, Betahistine, Atosiban, Clenbuterol"
Hydralazine,"Moxonidine, Nicorandil, Floctafenine, Butobarbital, Hexobarbital, Yohimbine, Tiaprofenic acid, Heptabarbital, Obinutuzumab, Dapoxetine, Molsidomine"
Exenatide,"Insulin aspart, Stanolone, Insulin glulisine, Insulin degludec, Acenocoumarol, Insulin detemir"
Mecasermin,"Saxagliptin, Canagliflozin, Insulin glulisine, Insulin detemir, Linagliptin, Alogliptin, Stanolone, Insulin aspart, Vildagliptin"
Pramlintide,"Tiotropium, Stanolone, Levocetirizine, Umeclidinium, Insulin degludec, Pizotifen, Solifenacin, Dexchlorpheniramine maleate, Aclidinium, Methscopolamine, Methotrimeprazine, Insulin detemir, Butylscopolamine, Mepenzolate, Insulin glulisine, Homatropine, Thiothixene, Zuclopenthixol, Insulin aspart, Fesoterodine"
Nelarabine,"Metamizole, Sipuleucel-T, Denosumab, Tofacitinib, Roflumilast"
Abatacept,"Certolizumab pegol, Denosumab, Belimumab, Golimumab, Sipuleucel-T, Tocilizumab, Roflumilast, Tofacitinib, Pomalidomide"
Tetracosactide,Nitrazepam
Corticotropin,"Linagliptin, Insulin detemir, Canagliflozin, Denosumab, Sipuleucel-T, Telaprevir, Ceritinib, Corticorelin ovine triflutate, Insulin glulisine, Fosaprepitant, Nicorandil, Vildagliptin, Stanolone, Alogliptin, Benzoic acid, Insulin aspart, Indacaterol, Tofacitinib, Saxagliptin, Roflumilast, Deferasirox"
Fenoterol,"Pheniramine, Mephentermine, Dexmethylphenidate, Metamfetamine, Ramosetron, Chlorphentermine, Dextroamphetamine, Armodafinil, Naphazoline, Indacaterol, Ephedrine, Pirbuterol, Clenbuterol, Dihydrocodeine, Eluxadoline, Olodaterol, Levonordefrin, Iobenguane, Cimetropium, Doxofylline, Isometheptene, Vilanterol, Phendimetrazine, Articaine, Tedizolid phosphate, Propylhexedrine, Racepinephrine"
Pirbuterol,"Atosiban, Doxofylline, Chlorphentermine, Metamfetamine, Naphazoline, Betahistine, Tedizolid phosphate, Iobenguane, Mephentermine, Clenbuterol"
Bismuth subsalicylate,"Citric acid, Ethyl biscoumacetate, Acenocoumarol, Pralatrexate, Ginkgo biloba, Ammonium chloride, Dalteparin, Sulodexide, Dexketoprofen, Bismuth subcitrate potassium"
Glucosamine,"Vorapaxar, Prasugrel, Milnacipran, Tiaprofenic acid, Levomilnacipran, Vortioxetine, Ticagrelor, Desvenlafaxine, Vilazodone, Cangrelor, Floctafenine"
Insulin aspart,"Articaine, Vildagliptin, Liraglutide, Fosamprenavir, Lopinavir, Dabrafenib, Triptorelin, Hydroxyprogesterone caproate, Estrone sulfate, Vorinostat, Metreleptin, Danazol, Methotrimeprazine, Canagliflozin, Buserelin, Mestranol, Brexpiprazole, Ceritinib, Drospirenone, Nilotinib, Everolimus, Insulin glulisine, Lurasidone, Iloperidone, Insulin detemir, Cortisone acetate, Temsirolimus, Stanolone, Histrelin, Insulin degludec, Lanreotide, Pipotiazine, Saxagliptin, Dienogest, Cyproterone acetate, Asenapine, Linagliptin, Pasireotide, Alogliptin"
Insulin detemir,"Triptorelin, Dienogest, Insulin degludec, Cortisone acetate, Fosamprenavir, Iloperidone, Drospirenone, Articaine, Vorinostat, Danazol, Hydroxyprogesterone caproate, Alogliptin, Estrone sulfate, Buserelin, Lanreotide, Canagliflozin, Vildagliptin, Pasireotide, Metreleptin, Liraglutide, Saxagliptin, Pipotiazine, Mestranol, Methotrimeprazine, Asenapine, Lopinavir, Dabrafenib, Lurasidone, Temsirolimus, Ceritinib, Brexpiprazole, Nilotinib, Insulin glulisine, Histrelin, Stanolone, Linagliptin, Everolimus, Cyproterone acetate"
Insulin glulisine,"Alogliptin, Cyproterone acetate, Cortisone acetate, Everolimus, Canagliflozin, Methotrimeprazine, Iloperidone, Vildagliptin, Metreleptin, Liraglutide, Insulin degludec, Histrelin, Pasireotide, Nilotinib, Mestranol, Dabrafenib, Lurasidone, Linagliptin, Lanreotide, Triptorelin, Hydroxyprogesterone caproate, Pipotiazine, Articaine, Danazol, Saxagliptin, Temsirolimus, Lopinavir, Dienogest, Asenapine, Ceritinib, Fosamprenavir, Vorinostat, Brexpiprazole, Stanolone, Buserelin, Drospirenone, Estrone sulfate"
Fosamprenavir,"Siltuximab, Vildagliptin, Tocilizumab, St. John's Wort, Ibrutinib, Lomitapide, Brexpiprazole, Riociguat, Dabrafenib, Fosphenytoin, Lopinavir, Zuclopenthixol, Tesmilifene, Eliglustat, Ivabradine, Telaprevir, Saxagliptin, Linagliptin, Etravirine, Flibanserin, Trabectedin, Apixaban, Deferasirox, Ivacaftor, Everolimus, Bosutinib, Alogliptin, Tolvaptan, Garlic, Dapoxetine, Boceprevir, Vilazodone, Naloxegol, Sonidegib, Lurasidone, Colchicine, Dolutegravir, Avanafil, Olaparib, Raltegravir, Simeprevir, Dienogest, Suvorexant, Canagliflozin, Batimastat, Ulipristal, Temsirolimus"
Fosphenytoin,"Cannabidiol, Prenylamine, Bromazepam, Lurasidone, Paraldehyde, Dienogest, Flibanserin, Quazepam, Elvitegravir, Vorapaxar, Lumacaftor, Dabrafenib, Sofosbuvir, Boceprevir, Fludiazepam, Flunarizine, Tegafur, Netupitant, Crizotinib, Apixaban, Brentuximab vedotin, Cefazolin, Vandetanib, Olaparib, Suvorexant, Deferasirox, Isavuconazonium, Liotrix, Tasimelteon, Tolvaptan, Linagliptin, Ketazolam, Rivaroxaban, Eslicarbazepine acetate, Nintedanib, Cabozantinib, Perampanel, Bazedoxifene, Regorafenib, Dabigatran etexilate, Brexpiprazole, Dronedarone, Nilotinib, Apremilast, Everolimus, Rolapitant, Rufinamide, Cobicistat, Ibrutinib, Macitentan, Romidepsin, Bedaquiline, Camazepam, Lithium cation, Bosutinib, Ponatinib, Pazopanib, Lacosamide, Cloxazolam, Tapentadol, Trabectedin, Maraviroc, Propacetamol, Dexketoprofen, Saxagliptin, Palbociclib, Idelalisib, Clotiazepam, Etravirine, Doxofylline, Dolutegravir, Rotigotine, Sodium oxybate, Ivabradine, Flunitrazepam, Levomefolic acid, Acenocoumarol, Canagliflozin, Artemether, Vortioxetine, Dexmethylphenidate, Amrinone, Panobinostat, Ixabepilone, Nitrazepam, Rilpivirine, Ezogabine, Simeprevir, Afatinib, Sonidegib, Tofacitinib, Axitinib, Methotrimeprazine, Temsirolimus, Daclatasvir, Lumefantrine, Cinolazepam, Luliconazole, Telaprevir, Abiraterone, Ticagrelor, Enzalutamide, Ulipristal, Mianserin, Lopinavir, Ivacaftor, Roflumilast, Tofisopam, Thyroid, porcine, Ledipasvir, Ceritinib, Naloxegol, Eliglustat, Vilazodone, Vemurafenib"
St. John's Wort,"Hydroxyprogesterone caproate, Dronedarone, Perampanel, Cyproterone acetate, Ospemifene, Ceritinib, Mestranol, Nilotinib, Maraviroc, Naloxegol, Bosutinib, Lopinavir, Rolapitant, Lurasidone, Ivabradine, Ixazomib, Dabrafenib, Brexpiprazole, Vemurafenib, Rilpivirine, Drospirenone, Stiripentol, Macitentan, Ibrutinib, Vilazodone, Enzalutamide, Panobinostat, Lumefantrine, Solifenacin, Tolvaptan, Cobicistat, Fosaprepitant, Ruxolitinib, Estrone sulfate, Vorapaxar, Spiramycin, Ponatinib, Vortioxetine, Boceprevir, Armodafinil, Regorafenib, Silodosin, Lomitapide, Vandetanib, Ulipristal, Temsirolimus, Crizotinib, Acenocoumarol, Tasimelteon, Fesoterodine, Avanafil, Osimertinib, Netupitant, Roflumilast, Tofacitinib, Ivacaftor, Axitinib, Isavuconazonium, Eliglustat, Simeprevir, Idelalisib, Etravirine, Trabectedin, Rivaroxaban, Isosorbide, Apremilast, Artemether, Telaprevir, Dienogest, Dolutegravir, Daclatasvir, Everolimus, Suvorexant, Pazopanib, Riociguat, Abiraterone, Canagliflozin, Ticagrelor, Apixaban, Pipotiazine, Cabazitaxel, Elvitegravir, Ixabepilone, Cabozantinib"
Cefamandole,Acenocoumarol
Cefazolin,"Acenocoumarol, Picosulfuric acid"
Cefonicid,Acenocoumarol
Cefoperazone,Acenocoumarol
Cefotetan,"Ribostamycin, Carbocisteine, Acenocoumarol, Arbekacin, Picosulfuric acid"
Cefoxitin,"Acenocoumarol, Picosulfuric acid, Arbekacin, Ribostamycin"
Ceftizoxime,Acenocoumarol
Cefradine,Acenocoumarol
Pancuronium,"Lithium cation, Lincomycin, Amrinone, Prenylamine, Arbekacin, Ribostamycin, Flunarizine"
Vecuronium,"Lithium cation, Lincomycin, Flunarizine, Amrinone, Ribostamycin, Prenylamine, Arbekacin"
Cilazapril,"Hexobarbital, Moxonidine, Tolvaptan, Icatibant, Temsirolimus, Obinutuzumab, Nicorandil, Everolimus, Lithium cation, Sacubitril, Iron, Dapoxetine, Aliskiren, Yohimbine, Drospirenone, Aprotinin, Molsidomine, Sodium aurothiomalate, Canagliflozin, Butobarbital, Heptabarbital"
Tolevamer,"Lithium cation, Aluminum hydroxide, Thyroid, porcine, Magnesium hydroxide, Sodium bicarbonate, Magnesium citrate, Magnesium oxide, Liotrix, Calcium carbonate"
Amobarbital,"Tapentadol, Propacetamol, Ulipristal, Suvorexant, Somatostatin, Prenylamine, Methotrimeprazine, Rufinamide, Sodium oxybate, Mianserin, Perampanel, Paraldehyde, Amrinone, Rotigotine, Flunarizine"
Butobarbital,"Empagliflozin, Dapagliflozin, Azilsartan medoxomil, Isosorbide, Dinutuximab, Enalaprilat, Dienogest, Isoxsuprine, Aliskiren, Nebivolol, Clevidipine, Drospirenone, Mestranol, Ulipristal, Isometheptene, Acenocoumarol, Penbutolol, Canagliflozin, Riociguat, Amyl Nitrite, Nesiritide"
Heptabarbital,"Nebivolol, Acenocoumarol, Azilsartan medoxomil, Amyl Nitrite, Dinutuximab, Dapagliflozin, Mestranol, Drospirenone, Clevidipine, Aliskiren, Riociguat, Enalaprilat, Isoxsuprine, Isosorbide, Isometheptene, Nesiritide, Dienogest, Canagliflozin, Empagliflozin, Ulipristal, Penbutolol"
Hexobarbital,"Empagliflozin, Isoxsuprine, Isosorbide, Ulipristal, Dienogest, Nebivolol, Dinutuximab, Amyl Nitrite, Aliskiren, Acenocoumarol, Enalaprilat, Penbutolol, Clevidipine, Drospirenone, Isometheptene, Nesiritide, Dapagliflozin, Azilsartan medoxomil, Mestranol, Riociguat, Canagliflozin"
Lithium cation,"Phendimetrazine, Rasagiline, Lurasidone, Floctafenine, Molindone, Dextroamphetamine, Enalaprilat, Vilazodone, Brexpiprazole, Dapoxetine, Metamfetamine, Azilsartan medoxomil, Methotrimeprazine, Tiaprofenic acid, Fluspirilene, Acepromazine, Tedizolid phosphate, Cathinone, Vortioxetine, Potassium Iodide, Zuclopenthixol, Sodium chloride, Sodium bicarbonate, Fencamfamin, Amisulpride, Thiothixene, Sertindole"
Mestranol,"Lumacaftor, Simeprevir, Vildagliptin, Human C1-esterase inhibitor, Citric acid, Linagliptin, Canagliflozin, Batimastat, Anthrax immune globulin human, Acenocoumarol, Eslicarbazepine acetate, Alogliptin, Saxagliptin, Dalteparin, Ethyl biscoumacetate, Sulodexide"
Penbutolol,"Tofacitinib, Fingolimod, Obinutuzumab, Floctafenine, Moxonidine, Methacholine, Yohimbine, Molsidomine, Ruxolitinib, Dronedarone, Regorafenib, Lacosamide, Ceritinib, Nicorandil, Acetylcholine, Ivabradine, Acepromazine"
Ephedra sinica root,Droxidopa
Ephedrine,"Ammonium chloride, Naphazoline, Tedizolid phosphate, Iobenguane, Metamfetamine, Droxidopa, Doxofylline, Chlorphentermine, Clenbuterol, Mephentermine"
Mephentermine,"Racepinephrine, Pheniramine, Dihydrocodeine, Armodafinil, Propylhexedrine, Dexmethylphenidate, Indacaterol, Articaine, Tedizolid phosphate, Vilanterol, Metamfetamine, Phendimetrazine, Isometheptene, Naphazoline, Iobenguane, Levonordefrin, Olodaterol, Dextroamphetamine"
Rasagiline,"Dapoxetine, Pizotifen, Sertindole, Abiraterone, Tetrabenazine, Amisulpride, Moxonidine, Tedizolid phosphate, Dexmethylphenidate, Pholcodine, Cyproterone acetate, Betahistine, Molindone, Fencamfamin, Mianserin, Pipamperone, Levonordefrin, Vemurafenib, Zuclopenthixol, Cathinone, Tapentadol, Bezafibrate, Methotrimeprazine, Thiothixene, Deferasirox, Methylene blue, Fluspirilene, Tetryzoline, Teriflunomide, Isometheptene, Acepromazine, Stiripentol"
Magnesium oxide,"Rilpivirine, Riociguat, Cefpodoxime, Elvitegravir, Flunarizine, Raltegravir, Dexmethylphenidate, Methotrimeprazine, Pitavastatin, Prenylamine, Dextroamphetamine, Pipotiazine, Triethylenetetramine, Dolutegravir, Deferiprone, Cortisone acetate, Sofosbuvir, Bosutinib, Dabrafenib, Methenamine, Alfacalcidol, Metamfetamine, Ledipasvir, Bisacodyl, Pazopanib, Phendimetrazine, Eltrombopag, Amrinone, Nilotinib, Dabigatran etexilate"
Cortisone acetate,"Stanolone, Ceritinib, Aluminum hydroxide, Calcium carbonate, Deferasirox, Denosumab, Sipuleucel-T, Nicorandil, Telaprevir, Indacaterol, Alogliptin, Benzoic acid, Vildagliptin, Canagliflozin, Fosaprepitant, Tesamorelin, Roflumilast, Saxagliptin, Linagliptin, Corticorelin ovine triflutate, Tofacitinib"
Ginkgo biloba,"Acenocoumarol, Salsalate, Magnesium salicylate"
