drug,effect
risperidone,neuroleptic malignant syndrome
efalizumab,tuberculosis
etanercept,tuberculosis
stavudine,symptomatic hyperlactatemia
zidovudine,symptomatic hyperlactatemia
zidovudine,hyperlactatemia relapse
stavudine,hyperlactatemia
bacitracin,anaphylactic reaction
octreotide,prolonged hypoglycemia
somatostatin,hypoglycemia
octreotide,serious hypoglycemia
azathioprine,leukopenia
aza,leukopenia
isoniazid,breast tissue enlargement
alemtuzumab,cryptococcus neoformans fatal sepsis
alemtuzumab,fungal infections
alemtuzumab,opportunistic infections
etoposide,acute myeloid leukemia
etoposide,saml
etoposide,secondary acute myeloid leukemia
tranexamic acid,polymyoclonus seizure
clarithromycin,rhabdomyolysis
sunitinib,development of abnormally large mammary glands
sunitinib,pain
sunitinib,peri-areolar erythema
sunitinib,bilateral breast enlargement
sunitinib,gynaecomastia
sunitinib,elevated lipase
sunitinib,fatigue
sunitinib,hand-foot syndrome
sunitinib,hypertension
sunitinib,lymphopenia
divalproex sodium,eosinophilic pleural effusion
depakote,dyspnea
divalproex sodium,dyspnea
depakote,effusion
flurbiprofen,acute tubulointerstitial nephritis
valproate,stupor
sorafenib,localized dyskeratotic plaque
sorafenib,milia
sorafenib,atypical localized cutaneous eruption
tigecycline,acute pancreatitis
tigecycline,elevated pancreatic enzymes
tigecycline,severe abdominal pain
tigecycline,abdominal pain
tigecycline,pancreatitis
leuprolide acetate,polymyositis
lupron,polymyositis
leuprolide acetate,myositis
aripiprazole,hiccups
sertraline,rhabdomyolysis
cisplatin,tumor lysis syndrome
olanzapine,priapism
ketamine,damage to the urinary tract
ketamine,damage to the urothelium
ketamine,urological symptoms
lopinavir,arrhythmias
ritonavir,arrhythmias
lopinavir,transient cardiac arrhythmias
ritonavir,transient cardiac arrhythmias
infliximab,colitis
infliximab,disseminated cryptococcosis
carbamazepine,aggressive behavior
carbamazepine,severe agitation
carbamazepine,hyperammonemia
valproic acid,elevated serum ammonia levels
cis-platinum,nephrotoxicity
cisplatinum,nephrotoxicity
adalimumab,jaundice
adalimumab,severe dyspnea
adalimumab,tachypnea
adalimumab,acute respiratory failure
adalimumab,acute bilateral phrenic neuropathy
tmp-sx,sjs
tmp-sx,ten
trimethoprim-sulfamethoxazole,sjs
tmp-sx,stevens-johnson syndrome
trimethoprim-sulfamethoxazole,stevens-johnson syndrome
trimethoprim-sulfamethoxazole,ten
tmp-sx,toxic epidermal necrolysis
trimethoprim-sulfamethoxazole,toxic epidermal necrolysis
lmwh,spontaneous hemothorax
dalteparin,acute respiratory distress
heparin,spontaneous hemothorax
bevacizumab,acute ocular ischemic change
avastin,acute vision loss
bevacizumab,acute vision loss
avastin,ocular ischemic syndrome
bevacizumab,ocular ischemic syndrome
bevacizumab,acute retinal ischemic change
bevacizumab,stroke
bevacizumab,carotid insufficiency
bevacizumab,coagulopathy
bevacizumab,poorly controlled diabetes mellitus
bevacizumab,acute ocular ischemic syndrome
bevacizumab,change of consciousness
cyclophosphamide,pancytopenia
doxorubicin,pancytopenia
etoposide,pancytopenia
prednisone,pancytopenia
rituximab,pancytopenia
vincristine,pancytopenia
adefovir,hepatitis b infection
lamivudine,hepatitis b infection
linezolid,acute interstitial nephritis
linezolid,dress
linezolid,drug rash with eosinophilia and systemic symptoms
linezolid,eosinophilia
linezolid,facial edema
linezolid,macular rash
linezolid,marked increase in serum creatinine level
linezolid,mild hepatitis
linezolid,severe pruritus
mtx,lpd
methotrexate,lymphoproliferative disorder
mtx,epstein-barr virus-associated polymorphic lymphoproliferative disorder
mtx,immunodeficiency
mtx,gastric lpd
sorafenib,acute renal failure
sorafenib,hyperkalemia
sorafenib,hyperuricemia
sorafenib,tumor lysis syndrome
oxymetazoline,syncope
oxymetalzoline,neurological depression
nitrofurantoin,toxic liver damage
nitrofurantoin,acute liver damage
natalizumab,pcnsl
natalizumab,primary central nervous system lymphoma
lamotrigine,severe apnea
lamotrigine,apnea
dasatinib,pleural effusion
dasatinib,pleural effusions
carboplatin,platinum hypersensitivity
adalimumab,fulminant cardiomyopathy
adalimumab,severe cardiomyopathy
amikacin,severe hypocalcemia
amikacin,type 5 bartter-like syndrome
amikacin,tubular dysfunction
amikacin,hypocalcemia
amikacin,hypomagnesemia
amikacin,metabolic alkalosis
amikacin,polyuria
amikacin,refractory hypokalemia
amikacin,severe renal tubular dysfunction
thrombin,multiple infarcts
thrombin,slow to awaken
thrombin,vasospasm
thrombin,cerebral infarctions
ciprofloxacin,hemorrhagic vasculitis
ciprofloxacin,below-knee amputation
ciprofloxacin,progressive gangrene
ciprofloxacin,severe forefoot infection
ciprofloxacin,vasculitis
sorafenib,interstitial pneumonia
sorafenib,severe interstitial pneumonia
sorafenib,interstitial lung disease
gemcitabine,pulmonary toxicity
licorice,hypokalemia
garenoxacin,cardiac rhythms
garenoxacin,hypokalemia
disopyramide,torsades de pointes
garenoxacin,torsades de pointes
garenoxacin,tdp
garenoxacin,ventricular tachycardia
8mop,acute dermatitis
methylprednisolone,hepatotoxicity
calcium polystryrene sulfonate,colonic mucosal necrosis
kalimate,colonic mucosal necrosis
kayexalate,colonic necrosis
sodium polystryrene sulfonate,colonic necrosis
kalimate,colonic mucosal necrosis in the rectum
kalimate,profuse hematochezia
kayexalate,colonic mucosal necrosis
clozapine,tardive dyskinesia
clozapine,discomfort
clozapine,td
clozapine,extrapyramidal symptoms
all-trans retinoic acid,focal myositis
all-trans retinoic acid,mononeuritis
all-trans retinoic acid,synovitis
all-trans retinoic acid,acute focal myositis
all-trans retinoic acid,possible vasculitis
pegylated interferon,retinopathy
ribavirin,retinopathy
pegylated interferon,irreversible decrease of visual acuity
pegylated interferon,ocular complications
carboplatin,severe hypersensitivity
sulfamethoxazole,aseptic meningitis
trimethoprim,aseptic meningitis
sulfamethoxazole,hemolytic anemia
trimethoprim,hemolytic anemia
sulfamethoxazole,hepatitis
trimethoprim,hepatitis
sulfamethoxazole,orthostatic hypotension
trimethoprim,orthostatic hypotension
sulfamethoxazole,difficulty with speech
trimethoprim,difficulty with speech
sulfamethoxazole,dizziness
trimethoprim,dizziness
sulfamethoxazole,headaches
trimethoprim,headaches
sulfamethoxazole,itching on the trunk
trimethoprim,itching on the trunk
sulfamethoxazole,maculopapular rash
trimethoprim,maculopapular rash
sulfamethoxazole,weakness
trimethoprim,weakness
ritodrine,acute chest pain
ritodrine,type i second-degree av block
ritodrine,mobitz type i
ritodrine,wenckebach av block
anthracycline,early chronic cardiomyopathy
all-trans retinoic acid,symptomatic cardiomyopathy
atra,symptomatic cardiomyopathy
daunomycin,symptomatic cardiomyopathy
imatinib,ks
rituximab,kaposi's sarcoma
rituximab,ks
imatinib mesylate,kaposi's sarcoma
imatinib,cutaneous ks lesions
cytosine arabinoside,bulbar
cytosine arabinoside,pseudobulbar palsy
interferon,neuropsychiatric symptoms
interferon,psychosis
interferon,hallucinations
ribavirin,hallucinations
zidovudine,anaemia
zidovudine,bone marrow aplasia
zidovudine,pure red cell aplasia
hydroxychloroquine,objective visual field loss
hydroxychloroquine,visual field loss
hydroxychloroquine,retinal toxicity
trazodone,hypomanic symptoms
trazodone,transient hypomanic symptoms
etanercept,severe heart failure
etanercept,reversible heart failure
methylephedrine,stroke
morphine,chronic nausea
morphine,confusion
lacosamide,ataxia
lacosamide,diplopia
lacosamide,dizziness
lacosamide,somnolence
methotrexate,aseptic pleuropericarditis
methotrexate,serositis
methotrexate,pleuropericarditis
itraconazole,tremor
zonisamide,acute kidney injury
zonisamide,hypersensitivity syndrome
zonisamide,hypersensitivity
zonisamide,an increase in antihuman herpesvirus-6 immunoglobulin g titer
zonisamide,eosinophilia
zonisamide,high-grade fever
zonisamide,liver dysfunction
zonisamide,lymphadenopathy
zonisamide,skin rash
zonisamide,dihs
zonisamide,dress
bisabolol,allergic contact dermatitis
immunoglobulin,azotemia
ivig,azotemia
immunoglobulin,hyperkalemia
ivig,hyperkalemia
immunoglobulin,nausea
ivig,nausea
immunoglobulin,shortness of breath
ivig,shortness of breath
lithium,cardiac toxicity
lithium,loss of intracellular potassium
vancomycin,anaphylactic reaction
vancomycin,anaphylactoid
vancomycin,anaphylaxis
vancomycin,blood disorders
vancomycin,gastrointestinal disturbances
vancomycin,hypersensitivity reactions
vancomycin,nephrotoxicity
vancomycin,ototoxicity
vancomycin,red man syndrome
hexoprenaline,pulmonary oedema
erlotinib,fatal interstitial lung disease
epinephrine,coronary artery vasospasm
epinephrine,transient intraoperative hypertension
cisplatin,syndrome of inappropriate antidiuretic hormone
enoxaparin,thrombocytosis
adalimumab,extreme hyperferritinemia
adalimumab,fever
adalimumab,pancytopenia
adalimumab,splenomegaly
adalimumab,macrophagic activation syndrome
adalimumab,visceral leishmaniasis
prochlorperazine,epiglottitis
prochlorperazine,oro-pharyngeal dystonic reaction
hydroxychloroquine,retinopathy
tmp-smx,acute liver toxicity
tmp-smx,liver toxicity
tmp-smx,cutaneous skin eruptions
tmp-smx,hepatotoxicity
tmp-smx,immunemediated hypersensitivity reaction
trimethoprim-sulfamethoxazole,hepatotoxicity
tmp-smx,soft tissue infection
amiodarone,thyrotoxicosis
amiodarone,goiter
sirolimus,aphthous stomatitis
sirolimus,worsening of chronic aphthous ulcers
tacrolimus,worsening of chronic aphthous ulcers
calcineurin,severe aphthous stomatitis
mp,transient renal failure
azathioprine,severe cholestasis
azathioprine,cholestasis
azathioprine,bile duct injury
calcium hopantenate,acute encephalopathy
hopa,acute encephalopathy
quinine,persistent light reactivity
quinine,photosensitivity
doxorubicin,hematologic malignancy
etoglucid,hematologic malignancy
mitomycin c,hematologic malignancy
cyclophosphamide,circumferential subglottic stenosis
cyclophosphamide,subglottic stenosis
tpa,severe splenic hemorrhage and rupture
tissue plasminogen activator,splenic hemorrhage
tissue plasminogen activator,gastrointestinal or intracranial bleeding
tpa,gastrointestinal or intracranial bleeding
cyproterone acetate,severe acute hepatitis
cyproterone acetate,abnormal liver function tests
cyproterone acetate,severe hepatitis
iothalamate,fixed drug eruption
griseofulvin,erythema multiforme
aminoglutethimide,rash
aminoglutethimide,skin toxicity
tamoxifen,carcinoma of the corpus uteri
disulfiram,hepatitis
disulfiram,eosinophilia
disulfiram,headache
disulfiram,mild fever
disulfiram,nausea
disulfiram,rash
disulfiram,vomiting
methotrexate,leukoencephalopathy
alum,aluminum toxicity
aluminum,cardiomyopathy
aluminum,encephalopathy
bleomycin,hemolytic-uremic syndrome
cisplatin,hemolytic-uremic syndrome
methotrexate,hemolytic-uremic syndrome
lidocaine,psychiatric symptoms
nitrendipine,gingival hyperplasia
sulfonamide,injury to the urinary tract
sulfadiazine,crystalluria
sulfadiazine,renal failure
5-fluorouracil,glaucoma
sucralfate,hypophosphatemic osteomalacia
gentamicin,hypersensitivity reaction
penicillin g,hypersensitivity reaction
azathioprine,brain damage
prednisolone,brain damage
azathioprine,prenatal cytomegalovirus (cmv) infection
prednisolone,prenatal cytomegalovirus (cmv) infection
cisplatin,acute coronary events
cis-diamine-dichloroplatinum ii,acute coronary ischemia
cisplatin,acute coronary ischemia
cis-diamine-dichloroplatinum ii,infarction
cisplatin,infarction
chromic phosphate,bowel perforation
chromic phosphate,bowel injury
chromic phosphate,colon perforation
mtx,death
ara-c,loss of consciousness
mtx,loss of consciousness
ara-c,progressive visual loss
mtx,progressive visual loss
pyridostigmine bromide,bromide intoxication
pyridostigmine bromide,postoperative psychosis
diazepam,withdrawal symptoms
nimodipine,ileus
nimodipine,adynamic ileus
nimodipine,pseudo-obstruction of the colon
danazol,diabetes
danazol,insulin-dependent diabetes mellitus
glipizide,symptomatic hypoglycemia
smx,symptomatic hypoglycemia
sulfamethoxazole,symptomatic hypoglycemia
tmp,symptomatic hypoglycemia
trimethoprim,symptomatic hypoglycemia
ifosfamide,anuria
ifosfamide,irreversible lethal renal failure
ifosfamide,tubulopathies
ifosfamide,lethal anuria
ciprofloxacin,interstitial nephritis
ciprofloxacin,renal toxicities
doxorubicin,acute encephalopathy
doxorubicin,high-pressure hydrocephalus
doxorubicin,severe acute encephalopathy
phenobarbital,hepatotoxicity
phenobarbital,severe hepatotoxicity
phenobarbital,hepatocellular failure
phenobarbital,skin rash
atenolol,pseudolymphoma
sulpiride,tardive dyskinesia
methotrexate,ascites
mtx,ascites
methotrexate,bridging fibrosis
methotrexate,hepatitis
methotrexate,reversible hepatic insufficiency
mtx,hepatic decompensation
methotrexate,fatal rise in intracranial pressure
methotrexate,brainstem herniation
methotrexate,fatal cerebral edema
methotrexate,intracranial mass lesion
methotrexate,transtentorial herniation
acyclovir,fever
acyclovir,pleural effusion
acyclovir,pulmonary infiltrates
acyclovir,hemoptysis
acyclovir,pleural friction rub
quinine,hearing loss
quinine,sensorineural hearing loss
quinine,reversible hearing loss
quinine,ototoxicity
bleomycin,hemolytic uremic syndrome
cis-platinum,hemolytic uremic syndrome
vinblastine,hemolytic uremic syndrome
bleomycin,acute pneumonitis
oxygen,acute pneumonitis
bleomycin,pulmonary damage
oxygen,pulmonary damage
bleomycin,pneumonitis
bleomycin,pulmonary toxicity
oxygen,pulmonary toxicity
procainamide,incessant orthodromic atrioventricular tachycardia
procainamide,tachycardia
procainamide,incessant supraventricular tachycardia
procainamide,pro-arrhythmic effects
phosphate diethylstilbestrol,multicentric hepatocellular carcinoma
des,hepatocellular carcinoma
diethylstilbestrol,hepatocellular carcinoma
pdes,multiple nodules in the liver
phosphate diethylstilbestrol,multiple nodules in the liver
amiodarone,cerebellar syndrome
amiodarone,symmetric sensorimotor polyneuropathy
amiodarone,peripheral neuropathy
vinblastine,hyponatremia
vinblastine,hyponatremic episode
dextran-40,acute renal failure
dextran-40,renal failure
dextran,renal failure
methotrexate,cns abnormalities
bromocriptine,morphea
dapsone,erythroderma
fluoxetine,akathisia
fluoxetine,constant pacing
fluoxetine,marked anxiety
fluoxetine,purposeless movements of the feet and legs
fluoxetine,restlessness
cytosine arabinoside,demyelinating peripheral neuropathy
cytosine arabinoside,horner's syndrome
cytosine arabinoside,peripheral nerve dysfunction
cytosine arabinoside,peripheral nervous system disturbances
cytosine arabinoside,death
cytosine arabinoside,severe demyelinating peripheral neuropathy
penicillamine,nail-changes
ibuprofen,meningitis
metoclopramide,parkinsonism
ergotamine,arterial spasm
ergotamine,fatal stroke
cyclophosphamide,acute hyponatraemia
indomethacin,acute hyponatraemia
cyclophosphamide,life-threatening water intoxication
indomethacin,life-threatening water intoxication
clofazimine,nail changes
clofazimine,discoloration of nail plate
clofazimine,onycholysis
clofazimine,subungual hyperkeratosis
asparaginase,hyperglycemia
captopril,persistent late onset asthma
captopril,asthma
bleomycin,tma
cisplatin,tma
busulphan,ascites
busulphan,jaundice
busulphan,oesophageal varices
busulphan,portal hypertension
amiodarone,torsades de pointe
morphine-6-glucuronide,respiratory depression
morphine,respiratory depression
rifampin,thrombocytopenia
rifampin,acute renal failure
rifampin,hemolytic anemia
rifampin,hepatitis
haloperidol,wes
haloperidol,withdrawal emergent syndrome
5-fluorouracil,acute myelocytic leukemia
cyclophosphamide,acute myelocytic leukemia
methotrexate,acute myelocytic leukemia
ibuprofen,gastrointestinal adverse reactions
ibuprofen,ulcerative proctitis
cytarabine,central nervous system toxicity
methotrexate,central nervous system toxicity
ara = c,leukoencephalopathy
chlorambucil,acute myelogenous leukemia
chlorambucil,aml
mianserin,panic anxiety
trihexyphenidyl,acute respiratory difficulties
trihexyphenidyl,cranial dystonia
trihexyphenidyl,inspiratory stridor
ara-c,paresthesias
cytosine arabinoside,paraplegia
ara-c,paraplegia
"o,p'-ddd",hypoadrenalism
alprazolam,mania
alprazolam,manic episodes
alprazolam,delirious
alprazolam,delirium
sulfasalazine,bronchopulmonary complications of inflammatory bowel disease
sulfasalazine,ibd
amantadine,psychotic decompensations
amantadine,precipitating psychosis
amantadine,schizophrenia
chlorpromazine,symptoms resembling parkinson's disease
sulfasalazine,lupus
sulfasalazine,pulmonary parenchymal involvement
sulfasalazine,serositis
sulfasalazine,lupus syndrome
sulfasalazine,bilateral pleural effusions
sulfasalazine,cardiac tamponade
sulfasalazine,pneumonitis
sulfasalazine,positive autoantibodies
sulfasalazine,lupus erythematosus
l-thyroxine,acute myocardial infarction
l-thyroxine,coronary spasm
l-thyroxine,myocardial infarction
l-t4,leukopenia
l-thyroxine,leukopenia
ampicillin,generalised exfoliative dermatitis
ampicillin,interstitial nephritis
ampicillin,acute interstitial nephritis
ampicillin,exfoliative dermatitis
ampicillin,renal failure
ampicillin,eosinophilia
ampicillin,skin rash
vancomycin,erythema of the cartilage of both ears
vancomycin,hemorrhagic lesions of the finger tips
vancomycin,lupus-like syndrome
vancomycin,malar rash
vancomycin,pain
vancomycin,tender erythematous
vancomycin,vasculitis
isotretinoin,abnormal retinal function
isotretinoin,excessive glare sensitivity
isotretinoin,poor night vision
fudr,neurologic toxicity
ethambutol,optic neuropathies
ethambutol,toxic optic neuropathies
nifedipine,dysphagia for solids
nifedipine,gastro-oesophageal reflux
decadron,bilateral posterior subcapsular cataracts
cisplatin,nausea
decadron,visual impairment
decadron,cataracts
cisplatin,vomiting
phenytoin,iga deficiency
phenytoin,ige increase
chloral hydrate,cardiac arrhythmias
adrenaline,dacryolith
valproic acid,hyperammonemia
valproic acid,dementia
co-trimoxazole,red cell aplasia
isoniazid,optic neuropathy
isoniazid,ocular toxicity
depo-medrol,spastic paraparesis at the lower limbs
depo-medrol,calcification
depo-medrol,ossification of the spinal arachnoid
adriamycin,tonic-clonic seizures
cisplatin,tonic-clonic seizures
adrenocorticotropic hormone,hyperkalemia
acth,hyperkalemia
folinic acid,acute renal impairment
methotrexate,acute renal impairment
folinic acid,hyperkalaemia
methotrexate,hyperkalaemia
folinic acid,hyperphosphataemia
methotrexate,hyperphosphataemia
folinic acid,hyper-uricaemia
methotrexate,hyper-uricaemia
folinic acid,hypocalcaemia
methotrexate,hypocalcaemia
folinic acid,metabolic acidosis
methotrexate,metabolic acidosis
folinic acid,phosphate shower syndrome
methotrexate,phosphate shower syndrome
folinic acid,tetany
methotrexate,tetany
valproate,camptocormia
valproate,abnormal posture of extreme forward flexion
sodium valproate,camptocormia
carbamazepine,hepatopathy
lynestrenol,hepatopathy
sodium valproate,hepatopathy
lorazepam,seizures
lorazepam,paradoxical precipitation of tonic seizures
methylprednisolone,atrial fibrillation
isotretinoin,teratogenic effects
isotretinoin,teratogenicity
isotretinoin,abnormalities of the corticospinal tracts
isotretinoin,agenesis of the cerebellar vermis
isotretinoin,hydrocephalus
isotretinoin,multiple leptomeningeal neuroglial heterotopias
allopurinol,hypersensitivity
allopurinol,hypersensitivity syndrome
prostaglandin-e2,bone formation
vincristine,severe visual loss
vincristine,optic nerve toxicity
vincristine,visual loss
niacin,reversible toxic cystoid maculopathy
niacin,maculopathy
niacin,visual symptoms
niacin,cystoid maculopathy
dapsone,fever
dapsone,headache
dapsone,hemolysis
dapsone,hepatitis
dapsone,leukopenia
dapsone,lymphadenopathy
dapsone,mononucleosis
dapsone,nausea
dapsone,vomiting
rifampicin,adrenal insufficiency
rifampicin,adrenal failure
diltiazem,cutaneous vasculitis
nafcillin,seizures
streptokinase,ischaemic cerebrovascular accident
streptokinase,thrombo-embolic complication
doxycycline,renal hypophosphatemia
human growth hormone,creutzfeldt-jakob disease
choline magnesium trisalicylate,hepatotoxicity
salicylate,hepatotoxicity
captopril,attacks of asthma
dyazide,attacks of asthma
nadolol,attacks of asthma
timolol,ocular pemphigoid
carbamazepine,deposits of plasma proteins in the skin
diphenylhydantoin,deposits of plasma proteins in the skin
desipramine,pain
desipramine,testicular swelling
benzocaine,methemoglobinemia
methotrexate,erosion of a psoriatic plaque
methotrexate,erosion of psoriatic plaques
cyclosporine a,effective renal plasma flow
cyclosporine a,loss of glomerular filtration rate
cyclosporine a,fall of the filtration fraction
cyclosporine a,increase in proteinuria
cyclosporine a,nephrotoxicity
cyclosporine a,rise in the relative clearance of 99tc-dimercaptosuccinic acid
propylthiouracil,hyperthyroidism
propylthiouracil,raised creatine phosphokinase
propylthiouracil,severe proximal muscle weakness
propylthiouracil,polymyositis
phenytoin,cardiopulmonary arrest
calcium hopantenate,pantothenic acid deficiency
calcium hopantenate,reye-like syndrome
calcium hopantenate,fatal acute encephalopathy
morphine sulfate,dyspnea
desipramine,anhedonic ejaculation
desipramine,ejaculation without orgasm
morphine,myoclonic spasms
halothane,hepatitis
cyclophosphamide,porphyria cutanea tarda
cisplatin,porphyria cutanea tarda
iodine,acute renal failure
povidone,acute renal failure
pi,acute oliguric renal failure
d-penicillamine,epithelial crescents
d-penicillamine,hemoptysis
d-penicillamine,rapidly progressive glomerulonephritis
d-penicillamine,crescentic glomerulonephritis
gold,pneumonitis
gold,bilateral interstitial pulmonary abnormalities
gold,aplastic anemia
6-mercaptopurine,myelotoxicity
hdarac,cerebellar toxicity
cytarabine,cerebellar syndrome
hdarac,ataxia
hdarac,dysarthria
hdarac,neurotoxicity
gentamicin,macular infarction
gentamicin,macular lesion
razoxane,b-cell lymphoma
gold,hypogammaglobulinemia
sodium nitroprusside,leucopenia
sodium nitroprusside,thrombocytopenia
cyclosporine a,herpes simplex esophagitis
cyclosporine a,herpes esophagitis
insulin,rebound hyperglycemia
insulin,posthypoglycemic hyperglycemia
insulin,hyperglycemia
protamine hagedorn,rebound hyperglycemia
protamine zinc iletin,rebound hyperglycemia
captopril,lichen planus pemphigoides
captopril,bullous lichenoid eruption
bcg,osteomyelitis in the left calcaneus
bcg,metastatic osteomyelitis
minoxidil,arteriosclerotic disease
minoxidil,hypertension
minoxidil,myocardial infarction
amoxapine,cognitive impairment
amoxapine,cognitive impairments
ibuprofen,severe hypersensitivity reaction
ibuprofen,severe systemic hypersensitivity reaction
chloramphenicol,hypersensitivity
chloramphenicol,hypersensitivity reaction
chloramphenicol,hypersensitivity reactions
chloramphenicol sodium succinate,hypersensitivity reaction
penicillamine,brain lesions
penicillamine,neurologic disease
penicillamine,neurologic worsening
d-penicillamine,neurologic deterioration
penicillamine,worsening of neurologic syndrome
cyclophosphamide,upper tract neoplasms
cyclophosphamide,upper tract urothelial malignancy
cyclophosphamide,distal ureter without transitional cell carcinoma of the bladder
cyclophosphamide,transitional cell carcinoma of the renal pelvis
cyclophosphamide,progressive pulmonary fibrosis
cyclophosphamide,severe restrictive ventilatory defect
amiodarone,torsade de pointes
ritodrine,pulmonary edema
terbutaline,pulmonary edema
cyclosporin,abnormalities in liver function tests
cyclosporin,hirsutism
cyclosporin,hypertension
cyclosporin,increased blood levels of urea and creatinine
nifedipine,rupture of a cerebral aneurysm
nifedipine,rupture of a cerebral arterial aneurysm
prazosin,severe drop in blood pressure
prazosin,hemorrhagic stroke
streptokinase,fatal massive pulmonary embolus
streptokinase,massive pulmonary embolism
digoxin,fatal digoxin poisoning
phenytoin,hepatitis
phenytoin,hypersensitivity reactions
phenytoin,mononucleosis
phenytoin,pruritus
phenytoin,swelling of the face and legs
phenytoin,"dermatologic, lymphoid, or hepatic syndromes"
phenytoin sodium,leukopenia
phenytoin,lymphadenopathy
phenytoin,rash
nicotinic acid,fulminant hepatic failure
nicotinic acid,hepatotoxicity
nicotinic acid,liver disease
methimazole,athelia
propranolol,athelia
methimazole,choanal atresia
propranolol,choanal atresia
methimazole,mental retardation
propranolol,mental retardation
methimazole,teratogenicity
5-fluorocytosine,toxic epidermal necrolysis
amphotericin b,toxic epidermal necrolysis
cyclophosphamide,abdominal right lower quadrant pain
cyclophosphamide,cecal lymphoma
amiodarone,fall in prothrombin time
amiodarone,jaundice
amiodarone,marked increase in serum transaminase levels
amiodarone,severe centrilobular necrosis
amiodarone,acute hepatitis
timolol,hyperkalemic
timolol,severe hyperkalemia
prednisone,severe hyperkalemia
mono-octanoin,noncardiogenic pulmonary edema
monooctanoin,noncardiogenic pulmonary edema
cisplatin,paroxysmal supraventricular tachycardia
etoposide,paroxysmal supraventricular tachycardia
viloxazine,decrease in theophylline clearance
viloxazine,theophylline intoxication
viloxazine,decrease in clearance
nitrofurantoin,eosinophilic pneumonia
nitrofurantoin,idiosyncratic pulmonary reactions
amsacrine,acute myocardial necrosis
amsacrine,cardiotoxicity
amsacrine,myocardial necrosis
amsacrine,acute myocardial infarction
amsacrine,focal myocardial necrosis
phenobarbital,alopecia
phenobarbital,a pruritic desquamating erythrodermic rash
phenobarbital,fever
phenobarbital,hypersensitivity
phenobarbital,icterus
phenobarbital,myositis
phenobarbital,nephritis
phenobarbital,protein-losing enteropathy
phenobarbital,graft versus host-like illness
phenobarbital,autoimmune cell-mediated hypersensitivity
tolazoline,duodenal ulceration
tolazoline,intestinal perforation
macrodantin,acute and chronic pulmonary reactions
macrodantin,allergic reactions
macrodantin,blood dyscrasias
macrodantin,liver damage
macrodantin,peripheral neuropathy
trazodone,generalized pustular psoriasis
molipaxin,generalized pustular psoriasis
trazodone hydrochloride,generalized pustular psoriasis
molipaxin,gpp
trazodone hydrochloride,gpp
quinidine,apnea
verapamil,apnea
verapamil,atrial flutter
verapamil,bradycardia
quinidine,death
verapamil,hypotension
quinidine,long qt interval syndrome
verapamil,sudden death
methimazole,cholestatic liver injury
methimazole,liver damage
methimazole,bile stasis
methimazole,cholestasis
methimazole,fatty liver parenchyma degeneration
methimazole,granulocytic portal infiltration
methimazole,leucopenia
papaverine,fibrosis of corpus cavernosum
phentolamine,fibrosis of corpus cavernosum
papaverine,penile fibrosis
phentolamine,penile fibrosis
interferon beta,pulmonary sarcoidosis
interferon beta,sarcoidosis
formalin,fatal outcome
mebendazole,alopecia
mebendazole,granulocytopenia
sulfamethoxazole,colitis
trimethoprim,colitis
sulfamethoxazole,pseudomembranous colitis
trimethoprim,pseudomembranous colitis
vasopressin,lethal complication
vasopressin,abdominal pain
vasopressin,collapse
protamine,type i anaphylaxis
protamine,fatal anaphylaxis
cis-platinum,ototoxicity
lithium,nephrotoxicity
lithium,renal failure
nitroglycerin,decrease in blood flow
nitroglycerin,increase in pulmonary artery pressure
nitroglycerin,increase in pulmonary vascular resistance
nitroglycerin,paradoxical pulmonary vasoconstriction
amiodarone,atrioventricular block
ampicillin,electrical decrement
ampicillin,myasthenia gravis
ampicillin,acute exacerbations
ampicillin sodium,severe temporary weakness
theophylline,ulcer
prednisone,perforated gastric ulcer
theophylline,perforated gastric ulcer
propranolol,esophageal spasm
nifedipine,hypotension
nifedipine,sinus arrest
diamorphine,"painful, oedematous, cyanosed hand"
methylphenidate,"painful, oedematous, cyanosed hand"
diamorphine,ischaemia
methylphenidate,ischaemia
hydrochlorothiazide,chronic photosensitivity
verapamil,cardiac decompensation
verapamil,hemodynamic decompensation
amiodarone,neuropathy
amiodarone,pleural and pericardial effusion
amiodarone,pneumonitis
heparin,hyperkalemia
heparin,skin necrosis
insulin,edema
insulin,cardiac failure
insulin,self-limited edema
pyridoxine,seizures
pyridoxine,acute hypotonia
oxacillin,severe cholestasis
oxacillin,reversible cholestatic jaundice
isoniazid,pellagra
isoniazid,pellagra encephalopathy
isoniazid,"mental, neurological or gastrointestinal symptoms"
aspirin,rs
aspirin,reye syndrome
diltiazem,atrial fibrillation
verapamil,syncope
amiodarone,dysthyroidism
propranolol,decrease in heart rate
propranolol,paroxsymal increase in blood pressure
propranolol,hypertension
chlorambucil,central nervous toxicity
chlorambucil,eeg abnormalities
fenclofenac,iga deficiency
aurothiomalate,iga deficiency
sulphasalazine,iga deficiency
lithium,movement disorder
trazodone,movement disorder
trazodone,involuntary movements
benzodiazepine,coma
benzodiazepine,spindle coma
imipramine,spindle coma
rifampicin,renal insufficiency
rifampicin,renal failure
desferrioxamine,cerebral and ocular toxicity
desferrioxamine,neurological effects
prochlorperazine,neurological effects
prochlorperazine,lost consciousness
desferrioxamine,retinal problems
gold,nephropathy
gold,renal disease
gold,proteinuria
intralipid,fat embolism
methotrexate,bilateral pulmonary infiltrates
